SYSTOLIC_PRESSURE,DIASTOLIC_PRESSURE,HEART_RATE,PULSE_RATE,BLOOD_VISCOSITY,EMOTION
115,78,74,74,0.334461633,HAPPY
131,86,83,83,0.401042,STRESSED
116,80,69,69,0.329979717,HAPPY
115,79,72,72,0.320616,HAPPY
130,84,78,78,0.41169273,STRESSED
131,86,83,83,0.395698909,STRESSED
138,82,87,87,0.395212235,STRESSED
121,81,68,68,0.313569,DEPRESSED
125,78,64,64,0.333271,DEPRESSED
125,78,64,64,0.309286,DEPRESSED
115,78,71,71,0.329119,HAPPY
115,80,67,67,0.337531,HAPPY
115,78,63,63,0.326180614,HAPPY
178,85,97,97,0.383328,ANGRY
166,89,111,111,0.38446,ANGRY
127,80,67,67,0.399821,SAD
140,84,83,83,0.403008592,STRESSED
130,81,83,83,0.392863,STRESSED
118,80,59,59,0.333853,HAPPY
138,87,87,87,0.392754446,STRESSED
122,81,69,69,0.383874,SAD
118,78,72,72,0.338058903,HAPPY
120,81,67,67,0.330865,HAPPY
116,79,57,57,0.339549,HAPPY
116,80,57,57,0.329337524,HAPPY
134,85,84,84,0.394077,STRESSED
136,84,85,85,0.396308,STRESSED
115,79,59,59,0.336274,HAPPY
139,81,86,86,0.399037199,STRESSED
122,81,62,62,0.300198,DEPRESSED
139,83,80,80,0.419169,STRESSED
127,80,61,61,0.377734,SAD
127,78,66,66,0.344216,DEPRESSED
138,89,85,85,0.409714093,STRESSED
136,88,87,87,0.404308567,STRESSED
128,77,71,71,0.373724,SAD
160,98,82,82,0.352318,ANGRY
126,81,62,62,0.300457,DEPRESSED
119,78,72,72,0.328369,HAPPY
124,82,65,65,0.323131,DEPRESSED
141,86,97,97,0.35923,ANGRY
136,87,86,86,0.390869441,STRESSED
135,81,78,78,0.397983,STRESSED
125,80,68,68,0.304663,DEPRESSED
116,81,73,73,0.327595229,HAPPY
130,89,79,79,0.39013,STRESSED
121,79,59,59,0.339913648,HAPPY
122,79,68,68,0.334302,DEPRESSED
134,87,83,83,0.390511128,STRESSED
118,78,58,58,0.333717,HAPPY
162,88,82,82,0.385809,ANGRY
134,83,85,85,0.399207,STRESSED
174,95,88,88,0.357761,ANGRY
124,81,61,61,0.372432,SAD
139,80,81,81,0.408373,STRESSED
126,81,66,66,0.333544,DEPRESSED
116,81,57,57,0.332652735,HAPPY
125,77,63,63,0.325896,DEPRESSED
124,79,66,66,0.313335,DEPRESSED
138,83,78,78,0.407032,STRESSED
127,80,66,66,0.393607,SAD
120,80,65,65,0.346236,DEPRESSED
120,79,57,57,0.326756,HAPPY
118,79,72,72,0.325991649,HAPPY
125,81,65,65,0.384841,SAD
153,86,83,83,0.39404,ANGRY
117,79,67,67,0.326218,HAPPY
123,80,70,70,0.372811,SAD
125,80,64,64,0.392106,SAD
119,78,71,71,0.322536,HAPPY
151,92,103,103,0.386178,ANGRY
125,77,67,67,0.325977,DEPRESSED
133,82,84,84,0.394838214,STRESSED
128,81,62,62,0.399106,SAD
145,97,115,115,0.395823,ANGRY
136,80,85,85,0.405306,STRESSED
130,81,64,64,0.391286,SAD
130,81,80,80,0.392108007,STRESSED
174,98,111,111,0.360562,ANGRY
128,79,60,60,0.384068,SAD
121,78,65,65,0.327524869,HAPPY
121,79,69,69,0.338463,HAPPY
165,87,87,87,0.358277,ANGRY
150,93,114,114,0.378591,ANGRY
128,78,68,68,0.381158,SAD
173,96,109,109,0.378266,ANGRY
121,81,58,58,0.325746,HAPPY
120,78,71,71,0.332019486,HAPPY
120,79,68,68,0.337505,DEPRESSED
115,78,58,58,0.334689,HAPPY
116,80,58,58,0.324780089,HAPPY
127,78,66,66,0.378484,SAD
132,81,79,79,0.411564,STRESSED
118,80,73,73,0.334063499,HAPPY
173,93,104,104,0.358572,ANGRY
121,79,68,68,0.32535452,HAPPY
171,85,105,105,0.353828,ANGRY
121,78,69,69,0.327254411,HAPPY
153,95,93,93,0.373636,ANGRY
130,89,85,85,0.407298827,STRESSED
137,88,87,87,0.391390437,STRESSED
128,80,65,65,0.39257,SAD
161,97,110,110,0.398246,ANGRY
152,88,102,102,0.352898,ANGRY
121,81,59,59,0.330535,HAPPY
161,89,106,106,0.391769,ANGRY
128,81,64,64,0.391776,SAD
141,85,108,108,0.371462,ANGRY
128,80,64,64,0.336557,DEPRESSED
152,92,83,83,0.390978,ANGRY
139,89,87,87,0.403638,STRESSED
134,86,78,78,0.39573,STRESSED
122,78,66,66,0.395983,SAD
135,80,83,83,0.411949241,STRESSED
118,80,58,58,0.331354,HAPPY
133,88,79,79,0.415505309,STRESSED
128,80,60,60,0.32439,DEPRESSED
124,78,67,67,0.324602,DEPRESSED
120,79,71,71,0.376214,SAD
117,78,67,67,0.327869,HAPPY
172,95,107,107,0.372836,ANGRY
119,79,62,62,0.321063,HAPPY
124,80,66,66,0.310491,DEPRESSED
121,81,63,63,0.338702291,HAPPY
118,81,60,60,0.325053,HAPPY
121,79,61,61,0.306907,DEPRESSED
132,83,87,87,0.408809,STRESSED
142,92,112,112,0.396219,ANGRY
119,80,74,74,0.334279,HAPPY
148,90,96,96,0.373878,ANGRY
115,79,59,59,0.337649,HAPPY
140,81,82,82,0.392676976,STRESSED
142,100,95,95,0.36069,ANGRY
125,77,63,63,0.312371,DEPRESSED
128,78,67,67,0.391712,SAD
128,81,72,72,0.377839,SAD
131,81,87,87,0.394406,STRESSED
122,78,63,63,0.302838,DEPRESSED
122,77,63,63,0.304733,DEPRESSED
118,79,65,65,0.32337069,HAPPY
129,77,64,64,0.375027,SAD
173,86,96,96,0.397073,ANGRY
120,81,73,73,0.323728434,HAPPY
116,79,72,72,0.327725,HAPPY
162,97,113,113,0.384128,ANGRY
118,81,60,60,0.339673,HAPPY
116,80,63,63,0.334947,HAPPY
119,81,68,68,0.335941228,HAPPY
128,81,61,61,0.345958,DEPRESSED
140,83,79,79,0.405111,STRESSED
115,80,64,64,0.331638,HAPPY
116,81,72,72,0.331838568,HAPPY
125,78,61,61,0.394082,SAD
118,78,66,66,0.339272,HAPPY
115,78,74,74,0.326511,HAPPY
123,79,63,63,0.394317,SAD
169,91,98,98,0.394151,ANGRY
126,81,66,66,0.386649,SAD
125,77,65,65,0.375558,SAD
115,81,58,58,0.325864,HAPPY
128,78,66,66,0.310301,DEPRESSED
118,79,71,71,0.329206,HAPPY
123,82,65,65,0.344583,DEPRESSED
139,81,78,78,0.412502,STRESSED
115,80,64,64,0.331533,HAPPY
131,80,81,81,0.399533494,STRESSED
138,80,78,78,0.397121321,STRESSED
135,80,84,84,0.418959496,STRESSED
132,81,85,85,0.391593,STRESSED
178,88,107,107,0.367514,ANGRY
127,78,62,62,0.306292,DEPRESSED
121,80,68,68,0.326115,DEPRESSED
122,77,61,61,0.392714,SAD
116,78,73,73,0.329288212,HAPPY
120,78,60,60,0.303618,DEPRESSED
141,86,96,96,0.388466,ANGRY
134,89,87,87,0.396089,STRESSED
127,78,67,67,0.322333,DEPRESSED
132,88,82,82,0.418977,STRESSED
119,81,64,64,0.334293312,HAPPY
130,82,87,87,0.418243458,STRESSED
141,97,106,106,0.362033,ANGRY
150,97,102,102,0.395431,ANGRY
154,89,82,82,0.36732,ANGRY
148,94,88,88,0.395833,ANGRY
127,77,67,67,0.381987,SAD
162,90,104,104,0.359742,ANGRY
145,100,99,99,0.382058,ANGRY
124,81,68,68,0.391018,SAD
129,82,61,61,0.34187,DEPRESSED
118,79,61,61,0.333238,HAPPY
139,80,84,84,0.394486,STRESSED
127,77,66,66,0.321346,DEPRESSED
121,81,64,64,0.313342,DEPRESSED
128,81,67,67,0.349325,DEPRESSED
130,81,70,70,0.379961,SAD
131,86,78,78,0.408769,STRESSED
119,80,70,70,0.332858,HAPPY
116,80,58,58,0.335270163,HAPPY
119,78,72,72,0.325921288,HAPPY
115,79,63,63,0.322065,HAPPY
136,80,78,78,0.407407,STRESSED
128,79,67,67,0.333757,DEPRESSED
121,81,63,63,0.319547,DEPRESSED
115,80,67,67,0.327332,HAPPY
118,80,57,57,0.331928,HAPPY
116,80,69,69,0.334819,HAPPY
126,80,64,64,0.373595,SAD
119,79,66,66,0.327335,HAPPY
116,81,63,63,0.325432136,HAPPY
127,77,62,62,0.344367,DEPRESSED
115,79,63,63,0.33083716,HAPPY
123,77,71,71,0.385719,SAD
158,98,86,86,0.361972,ANGRY
138,88,80,80,0.413007066,STRESSED
126,77,70,70,0.381032,SAD
124,81,67,67,0.316309,DEPRESSED
155,100,100,100,0.38619,ANGRY
130,80,81,81,0.390769,STRESSED
118,80,63,63,0.328607,HAPPY
140,89,78,78,0.418042676,STRESSED
133,89,78,78,0.413513,STRESSED
126,81,61,61,0.384191,SAD
130,87,82,82,0.419522902,STRESSED
120,77,71,71,0.374201,SAD
137,80,85,85,0.410193962,STRESSED
143,96,91,91,0.386161,ANGRY
122,77,72,72,0.390498,SAD
133,85,79,79,0.407279,STRESSED
124,80,61,61,0.381508,SAD
124,82,63,63,0.339087,DEPRESSED
126,78,63,63,0.33859,DEPRESSED
177,95,91,91,0.352358,ANGRY
132,88,82,82,0.403393,STRESSED
122,80,68,68,0.379877,SAD
125,81,60,60,0.344641,DEPRESSED
130,88,82,82,0.397843391,STRESSED
131,84,83,83,0.398544,STRESSED
140,86,79,79,0.405265512,STRESSED
120,78,67,67,0.392604,SAD
127,77,69,69,0.377442,SAD
116,80,62,62,0.329497,HAPPY
135,86,78,78,0.417729352,STRESSED
125,79,64,64,0.378012,SAD
120,77,69,69,0.395465,SAD
121,78,64,64,0.328963,HAPPY
139,83,84,84,0.406415885,STRESSED
132,81,83,83,0.40806359,STRESSED
119,78,67,67,0.335492,HAPPY
134,81,84,84,0.392658316,STRESSED
122,79,60,60,0.376007,SAD
117,78,65,65,0.323065194,HAPPY
133,80,83,83,0.415985174,STRESSED
121,79,60,60,0.324802,DEPRESSED
120,79,67,67,0.324085,HAPPY
118,81,67,67,0.322258,HAPPY
139,85,84,84,0.404817,STRESSED
138,85,87,87,0.391049,STRESSED
122,77,69,69,0.385582,SAD
174,100,104,104,0.36382,ANGRY
140,88,84,84,0.390849383,STRESSED
119,81,59,59,0.325588,HAPPY
126,80,64,64,0.323084,DEPRESSED
122,79,66,66,0.313749,DEPRESSED
134,85,85,85,0.415218,STRESSED
123,77,63,63,0.344706,DEPRESSED
135,82,83,83,0.396899,STRESSED
115,80,71,71,0.330064793,HAPPY
132,86,80,80,0.411468786,STRESSED
140,88,82,82,0.405913146,STRESSED
133,87,85,85,0.406001,STRESSED
135,84,84,84,0.409908058,STRESSED
133,81,81,81,0.395094,STRESSED
125,77,66,66,0.32196,DEPRESSED
120,78,71,71,0.3202,HAPPY
140,88,83,83,0.392867,STRESSED
128,79,62,62,0.301135,DEPRESSED
116,80,67,67,0.32711,HAPPY
124,81,72,72,0.390445,SAD
156,93,98,98,0.397965,ANGRY
131,85,83,83,0.39326,STRESSED
130,80,84,84,0.410392,STRESSED
119,80,60,60,0.324514,HAPPY
119,79,66,66,0.320061,HAPPY
119,78,61,61,0.327581013,HAPPY
139,80,81,81,0.407657,STRESSED
120,77,61,61,0.391888,SAD
139,89,83,83,0.408067,STRESSED
123,79,60,60,0.375335,SAD
127,80,62,62,0.390026,SAD
130,82,87,87,0.40481,STRESSED
121,81,63,63,0.336816,DEPRESSED
124,80,66,66,0.325249,DEPRESSED
133,83,79,79,0.39955,STRESSED
120,78,62,62,0.333404,HAPPY
128,82,64,64,0.348934,DEPRESSED
127,80,67,67,0.382807,SAD
158,90,85,85,0.38489,ANGRY
118,78,62,62,0.338181819,HAPPY
119,79,57,57,0.338407,HAPPY
138,82,87,87,0.391517438,STRESSED
140,86,81,81,0.392303,STRESSED
136,84,86,86,0.402010286,STRESSED
120,81,59,59,0.336929,HAPPY
140,91,109,109,0.377241,ANGRY
128,78,65,65,0.3825,SAD
121,78,69,69,0.320601,HAPPY
115,80,60,60,0.338301,HAPPY
123,81,69,69,0.381406,SAD
122,80,63,63,0.321858,DEPRESSED
115,79,61,61,0.32475,HAPPY
120,80,69,69,0.323868,HAPPY
117,81,68,68,0.336196,HAPPY
127,80,63,63,0.376343,SAD
129,82,67,67,0.345499,DEPRESSED
116,80,64,64,0.324361305,HAPPY
119,78,62,62,0.330085904,HAPPY
115,78,68,68,0.336676,HAPPY
128,80,72,72,0.389117,SAD
119,80,71,71,0.324532172,HAPPY
120,78,69,69,0.336205129,HAPPY
140,83,84,84,0.412482,STRESSED
131,88,79,79,0.402161,STRESSED
122,78,60,60,0.397307,SAD
121,81,65,65,0.334719,HAPPY
116,80,60,60,0.330222195,HAPPY
140,86,86,86,0.403037211,STRESSED
145,87,85,85,0.374521,ANGRY
172,100,115,115,0.383039,ANGRY
119,79,60,60,0.339834548,HAPPY
134,81,86,86,0.406938509,STRESSED
125,81,65,65,0.311103,DEPRESSED
121,79,60,60,0.336754,HAPPY
130,82,85,85,0.403032,STRESSED
120,79,68,68,0.336524353,HAPPY
125,79,66,66,0.378231,SAD
176,93,99,99,0.391259,ANGRY
180,90,108,108,0.38232,ANGRY
119,81,61,61,0.326109,HAPPY
172,87,107,107,0.397147,ANGRY
127,79,68,68,0.308706,DEPRESSED
123,79,66,66,0.387634,SAD
159,89,93,93,0.385289,ANGRY
125,78,60,60,0.342589,DEPRESSED
120,80,58,58,0.326083,HAPPY
120,81,74,74,0.329617168,HAPPY
124,80,70,70,0.387208,SAD
138,81,85,85,0.399415539,STRESSED
118,78,62,62,0.324535317,HAPPY
115,78,57,57,0.324199,HAPPY
153,97,100,100,0.392824,ANGRY
126,80,67,67,0.335952,DEPRESSED
118,78,72,72,0.331393,HAPPY
138,87,79,79,0.391066,STRESSED
127,79,64,64,0.392252,SAD
140,81,83,83,0.39158,STRESSED
117,80,62,62,0.332027,HAPPY
120,81,64,64,0.337250582,HAPPY
135,89,78,78,0.390154457,STRESSED
116,79,65,65,0.331898,HAPPY
125,80,64,64,0.305739,DEPRESSED
135,85,84,84,0.404276605,STRESSED
115,81,61,61,0.335418807,HAPPY
124,82,68,68,0.303846,DEPRESSED
136,87,79,79,0.400237738,STRESSED
124,78,65,65,0.375246,SAD
124,79,69,69,0.399694,SAD
135,88,83,83,0.399372508,STRESSED
120,79,66,66,0.349292,DEPRESSED
133,89,78,78,0.414456,STRESSED
147,92,96,96,0.365025,ANGRY
130,81,84,84,0.407549316,STRESSED
118,80,72,72,0.325666,HAPPY
147,95,102,102,0.398998,ANGRY
115,80,68,68,0.336863,HAPPY
116,79,74,74,0.326932624,HAPPY
120,81,67,67,0.38558,SAD
134,89,78,78,0.395730371,STRESSED
117,79,68,68,0.332555361,HAPPY
140,88,84,84,0.399271,STRESSED
156,88,90,90,0.391399,ANGRY
124,77,60,60,0.374318,SAD
136,85,85,85,0.417989823,STRESSED
138,84,83,83,0.404266,STRESSED
164,95,107,107,0.372192,ANGRY
124,81,70,70,0.395311,SAD
121,78,64,64,0.327112,HAPPY
126,78,71,71,0.387067,SAD
126,81,62,62,0.37224,SAD
119,79,72,72,0.339671,HAPPY
151,96,106,106,0.358133,ANGRY
121,80,65,65,0.334613,HAPPY
117,81,70,70,0.333704498,HAPPY
126,81,68,68,0.374125,SAD
119,80,63,63,0.334906184,HAPPY
120,81,63,63,0.308666,DEPRESSED
175,99,111,111,0.355209,ANGRY
123,77,66,66,0.320275,DEPRESSED
119,81,61,61,0.324112932,HAPPY
120,82,68,68,0.30779,DEPRESSED
116,79,71,71,0.326676,HAPPY
118,79,70,70,0.324247,HAPPY
140,84,83,83,0.403224789,STRESSED
117,80,62,62,0.33180621,HAPPY
120,78,65,65,0.332227,HAPPY
120,79,63,63,0.320856,HAPPY
115,78,64,64,0.325388879,HAPPY
124,79,66,66,0.389734,SAD
120,79,65,65,0.344716,DEPRESSED
137,85,87,87,0.418888,STRESSED
122,78,60,60,0.345866,DEPRESSED
122,82,60,60,0.337713,DEPRESSED
140,80,82,82,0.396412327,STRESSED
131,87,87,87,0.40188917,STRESSED
135,80,87,87,0.400276738,STRESSED
120,77,63,63,0.396882,SAD
138,81,80,80,0.401826342,STRESSED
174,99,104,104,0.389783,ANGRY
139,89,85,85,0.409136,STRESSED
147,90,84,84,0.371969,ANGRY
136,81,83,83,0.395798,STRESSED
126,80,65,65,0.330364,DEPRESSED
135,81,82,82,0.39346137,STRESSED
123,81,60,60,0.305992,DEPRESSED
129,78,65,65,0.337202,DEPRESSED
120,77,62,62,0.325009,DEPRESSED
167,93,86,86,0.350751,ANGRY
137,89,79,79,0.402605,STRESSED
121,77,63,63,0.394515,SAD
121,79,65,65,0.312005,DEPRESSED
179,93,93,93,0.367263,ANGRY
122,78,67,67,0.37134,SAD
121,80,66,66,0.313922,DEPRESSED
125,78,60,60,0.383414,SAD
134,88,84,84,0.406959,STRESSED
131,89,78,78,0.419356297,STRESSED
137,89,85,85,0.411599344,STRESSED
122,79,68,68,0.314039,DEPRESSED
135,89,79,79,0.391204181,STRESSED
133,84,79,79,0.405861,STRESSED
139,86,82,82,0.414911315,STRESSED
127,81,72,72,0.383424,SAD
129,79,65,65,0.393,SAD
140,85,80,80,0.402432,STRESSED
132,84,84,84,0.410343093,STRESSED
141,90,107,107,0.393658,ANGRY
129,82,63,63,0.334249,DEPRESSED
115,79,74,74,0.324135035,HAPPY
134,85,86,86,0.417243928,STRESSED
